Employee ID,Bonus,Raise Date
706002,1.0,Y,06/14/2022
368083,1.0,Y,07/02/2022
368083,1.8,N,08/02/2023
368083,0.7,N,06/11/2022
609826,1.7,Y,02/17/2023
609826,1.5,N,01/15/2023
503311,2.3,N,06/01/2022
503311,2.2,N,07/05/2023
779396,0.6,N,11/14/2024
779396,0.1,N,04/21/2022
441942,0.6,N,04/18/2024
441942,1.4,N,10/17/2022
441942,0.8,N,01/22/2022
143499,0.0,N,03/16/2024
143499,2.4,Y,03/21/2023
143499,1.7,N,06/06/2024
463765,1.1,N,03/10/2022
146691,0.4,N,12/10/2022
202967,1.6,Y,01/24/2023
202967,2.1,N,08/19/2022
202967,0.9,N,09/05/2022
402036,0.2,N,10/19/2024
402036,2.0,N,01/01/2022
613983,0.8,N,04/12/2022
613983,2.0,N,08/14/2024
613983,0.2,Y,10/01/2024
720274,1.2,Y,12/18/2022
720274,1.1,N,05/23/2023
876071,2.5,Y,09/02/2024
833142,0.6,N,09/06/2023
833142,2.4,Y,06/16/2023
833142,1.2,Y,03/24/2024
284007,0.9,N,02/13/2023
284007,1.4,Y,04/09/2022
284007,0.0,Y,12/23/2023
755011,2.2,Y,03/22/2023
755011,2.4,Y,08/19/2024
755011,0.3,N,02/04/2024
669718,2.0,N,12/11/2024
551346,0.0,N,01/21/2024
551346,0.6,Y,10/08/2023
551346,2.0,Y,01/16/2022
857621,2.0,N,04/09/2024
527420,1.1,Y,09/11/2023
527420,1.1,Y,06/05/2023
527420,2.2,N,05/02/2024
500169,0.8,Y,02/02/2022
500169,2.4,N,01/23/2024
538810,2.1,N,12/07/2024
538810,0.1,Y,06/18/2023
538810,2.4,N,11/13/2023
827187,0.4,N,06/11/2024
827187,0.5,N,06/10/2023
827187,0.7,N,06/06/2022
728435,1.3,N,12/08/2024
751731,1.4,Y,11/07/2022
751731,1.8,N,01/02/2022
751731,1.4,N,02/09/2023
588164,2.0,N,05/15/2022
237813,1.8,N,09/01/2024
237813,0.6,N,05/07/2024
566301,2.3,Y,09/06/2024
566301,2.2,Y,01/01/2024
566301,2.5,N,05/11/2024
560637,2.5,N,03/13/2024
560637,0.1,N,10/22/2022
469525,1.9,Y,01/01/2024
406479,0.1,Y,04/10/2022
204279,0.9,N,01/11/2024
502004,1.8,N,03/08/2022
502004,1.3,Y,06/07/2024
749146,1.6,N,05/23/2022
749146,1.2,N,12/03/2023
749146,2.1,Y,05/17/2024
951211,2.3,N,04/23/2024
951211,2.3,Y,05/07/2024
438767,0.5,N,05/03/2024
438767,1.2,Y,02/13/2024
581458,0.3,Y,09/20/2022
415983,1.3,Y,09/07/2022
415983,1.7,N,04/18/2023
415983,2.4,N,04/05/2023
669680,2.0,Y,06/22/2023
669680,0.3,Y,03/20/2022
362975,1.1,Y,05/15/2023
362975,1.7,Y,01/17/2022
643444,0.5,Y,06/07/2023
643444,0.8,N,06/01/2022
590951,0.0,N,10/20/2023
455219,0.4,N,03/21/2024
101856,2.0,N,10/11/2024
101856,2.4,Y,11/19/2022
376456,0.7,Y,10/23/2024
376456,0.1,Y,08/13/2024
401467,1.7,N,05/11/2024
401467,1.8,N,07/22/2024
311732,0.7,N,08/16/2022
311732,1.9,N,09/06/2022
487625,2.3,N,02/21/2022
487625,1.8,Y,12/17/2022
373436,2.4,N,06/20/2023
373436,0.4,N,11/14/2023
373436,1.5,Y,06/06/2023
841425,1.3,N,11/19/2024
841425,1.8,Y,10/22/2024
841425,1.8,Y,04/23/2024
261755,1.7,Y,06/07/2023
261755,2.3,Y,01/12/2023
261755,1.0,N,06/06/2022
297606,1.3,Y,08/24/2024
283881,1.2,N,08/24/2024
283881,1.5,Y,05/02/2023
283881,1.6,N,03/24/2023
272000,0.4,N,04/07/2024
272000,0.5,N,10/09/2022
806928,0.8,N,08/07/2024
806928,2.5,N,01/01/2023
806928,1.2,Y,07/03/2022
228181,1.0,Y,05/03/2023
692673,0.5,N,04/10/2024
692673,1.2,Y,03/18/2023
132342,2.4,Y,03/24/2022
132342,1.4,Y,03/23/2022
132342,1.4,N,07/09/2024
466552,2.4,N,07/05/2024
207226,0.7,N,09/23/2023
207226,0.6,N,09/07/2024
207226,2.0,Y,08/04/2022
869662,0.6,Y,06/01/2024
869662,0.3,N,09/02/2024
869662,0.5,Y,04/14/2023
984736,1.2,Y,06/15/2023
984736,1.1,Y,09/04/2023
984736,2.3,N,05/01/2024
815652,1.6,Y,05/19/2022
815652,1.9,Y,07/23/2023
462139,0.0,N,02/13/2022
462139,1.9,Y,11/22/2022
462139,1.2,Y,07/18/2024
478958,1.4,N,04/05/2024
882187,0.7,N,02/02/2023
882187,2.1,Y,05/01/2024
697089,1.9,Y,07/18/2024
697089,0.7,Y,09/08/2022
368594,0.4,Y,03/02/2023
368594,2.2,N,05/15/2022
368594,2.4,Y,02/08/2023
424682,1.2,N,08/14/2024
424682,1.8,Y,08/11/2022
682574,0.9,Y,02/16/2023
362470,1.0,Y,11/24/2024
362470,2.3,N,03/04/2024
362470,0.6,N,06/20/2023
522580,0.3,N,12/13/2022
522580,0.1,N,08/22/2023
443151,2.5,Y,06/18/2023
443151,2.2,N,04/04/2024
893911,2.1,N,04/11/2023
893911,2.5,Y,07/20/2024
871237,1.5,Y,10/17/2022
871237,1.7,Y,11/15/2023
871237,2.5,Y,08/16/2023
240111,2.4,Y,10/10/2023
796973,1.5,N,04/13/2024
598993,0.4,Y,05/17/2023
692734,2.2,N,02/17/2022
995566,1.2,N,07/08/2023
780771,2.0,N,11/09/2023
780771,1.0,N,02/03/2022
129145,1.5,N,10/05/2022
129145,1.3,Y,12/07/2022
129145,1.3,N,06/23/2023
873868,1.0,N,08/19/2024
873868,0.8,N,08/15/2022
722272,1.2,Y,01/20/2022
722272,1.8,N,10/06/2022
722272,2.1,N,04/02/2023
785311,0.8,N,06/19/2023
785311,0.5,Y,12/09/2022
396285,0.5,Y,07/23/2022
653090,1.5,N,11/22/2022
653090,0.0,Y,03/19/2023
653090,1.2,N,03/06/2023
330563,2.5,N,08/04/2022
330563,2.1,Y,09/23/2024
434706,2.2,N,04/12/2023
434706,1.5,N,09/06/2022
673409,0.9,Y,12/15/2022
673409,0.2,N,06/11/2022
281253,2.4,N,10/02/2024
281253,2.0,Y,07/20/2024
281253,0.3,N,02/10/2024
717113,1.1,N,02/18/2023
114865,2.3,N,02/16/2023
114865,1.6,N,08/17/2023
114865,2.1,N,05/06/2023
963305,0.8,N,03/04/2024
963305,1.8,N,03/20/2024
742607,1.7,N,03/01/2022
742607,1.3,N,08/21/2022
742607,2.5,N,07/20/2022
513598,0.6,Y,01/10/2024
513598,1.8,Y,10/14/2022
160263,0.5,N,03/21/2024
160263,2.0,Y,08/10/2023
160263,1.0,Y,07/11/2024
159834,2.3,N,09/04/2022
159834,0.1,Y,10/11/2022
159834,1.1,N,04/07/2022
501233,0.5,N,08/17/2023
501233,0.4,N,05/06/2023
501233,1.8,N,01/01/2024
756613,1.7,N,03/02/2024
115298,2.3,N,11/02/2023
706259,2.0,N,07/12/2022
706259,0.1,N,08/19/2023
706259,0.7,Y,12/17/2023
369760,1.8,N,02/02/2024
369760,2.5,N,03/02/2024
843131,1.1,Y,07/07/2022
843131,1.9,Y,04/21/2024
843131,1.6,Y,05/03/2023
195705,1.3,Y,10/23/2024
490637,0.2,Y,10/23/2024
490637,0.8,N,02/11/2022
409024,0.1,Y,06/20/2023
535788,0.4,Y,08/02/2023
535788,0.4,N,05/04/2022
535788,2.3,N,11/16/2022
971145,0.5,Y,06/05/2024
102511,2.4,Y,04/14/2024
102511,0.9,N,12/14/2022
102511,2.3,Y,05/17/2022
518187,2.5,Y,01/07/2024
518187,0.0,Y,09/13/2022
518187,0.3,N,07/05/2022
577993,0.9,N,10/20/2023
577993,0.9,N,01/14/2024
535010,1.3,N,06/01/2024
230610,1.7,N,08/18/2023
230610,0.6,Y,05/22/2023
230610,1.6,N,12/18/2023
816739,2.1,N,03/19/2022
816739,0.8,N,11/10/2022
816739,2.4,N,02/02/2022
436998,0.1,Y,02/07/2022
436998,0.1,Y,10/24/2023
359895,0.1,Y,05/22/2024
961855,0.5,Y,11/09/2022
961855,1.8,Y,03/16/2023
873825,0.9,Y,02/17/2023
873825,2.1,Y,11/24/2022
873825,1.3,Y,06/18/2022
297783,1.3,Y,08/15/2023
297783,0.7,N,05/09/2022
474647,2.2,N,05/03/2024
474647,2.0,Y,01/02/2023
474647,2.3,Y,02/16/2024
474640,1.8,Y,04/02/2024
474640,1.6,Y,07/05/2023
474640,2.3,N,03/12/2024
614828,2.5,N,03/15/2023
614828,1.1,N,03/08/2022
614828,1.7,N,09/11/2022
636258,1.3,Y,12/23/2023
636258,1.1,N,09/20/2023
764400,2.3,Y,01/01/2023
192723,1.4,N,11/03/2024
762770,0.6,N,07/05/2022
762770,1.1,N,04/06/2023
487173,0.3,N,06/16/2022
487173,2.1,Y,02/02/2022
487173,0.6,N,02/22/2022
225275,1.1,N,07/23/2022
225275,2.3,Y,06/18/2023
423642,2.3,Y,08/06/2022
423642,0.8,N,08/10/2022
546669,0.6,Y,03/18/2022
546669,2.1,Y,03/11/2024
546669,0.5,N,08/13/2023
183269,2.5,N,11/13/2024
183269,1.7,Y,11/24/2023
836482,1.0,Y,03/10/2022
836482,2.4,N,05/19/2022
310159,0.1,Y,03/22/2024
310159,2.0,N,09/07/2023
310159,2.0,N,01/03/2022
772553,2.2,Y,07/11/2023
772553,2.0,Y,05/18/2023
772553,1.9,Y,05/07/2024
893568,2.0,N,11/01/2024
893568,2.3,Y,11/04/2023
893568,2.1,N,08/05/2023
335894,1.3,N,07/09/2023
335894,1.3,Y,01/01/2022
406526,2.1,Y,02/19/2022
406526,2.5,N,11/21/2022
614818,2.2,Y,05/02/2022
614818,2.3,Y,02/07/2024
482837,0.9,N,08/02/2022
593477,2.4,Y,06/10/2023
593477,2.1,Y,10/14/2024
593477,2.1,Y,03/11/2022
146769,1.9,Y,03/03/2024
975194,1.2,Y,07/13/2023
927596,2.2,Y,03/04/2023
927596,1.6,Y,12/19/2023
927596,0.2,N,07/11/2023
436181,1.2,Y,11/04/2022
436181,1.6,Y,09/05/2024
436181,2.3,N,06/08/2022
373807,2.2,Y,10/21/2023
373807,0.6,N,07/12/2024
245831,2.5,N,12/10/2022
827626,1.8,Y,03/22/2022
827626,1.5,N,04/11/2024
827626,0.2,Y,12/06/2023
583750,0.5,N,05/06/2024
583750,0.6,Y,11/18/2023
583750,2.4,N,02/16/2022
653646,0.1,Y,08/14/2022
